1,MOCC1,50,3,0.524,0.476
2,OHES1,50,3,0.211,0.789
3,OHCQ1,50,3,0.014,0.986
4,COHA7,50,3,0.011,0.989
5,ARCC1,50,1,0.990,0.010
6,INCB1,50,3,0.013,0.987
7,INEM1,50,1,0.653,0.347
8,MSWD1,62,1,0.988,0.012
9,MSCS5,50,1,0.976,0.024
10,MSSM1,50,1,0.966,0.034
11,ALCC2,50,1,0.983,0.017
12,ILLG4,56,2,0.551,0.449
13,ALHR1,50,1,0.987,0.013
14,MOKC1,50,3,0.012,0.988
15,WB3,50,3,0.014,0.986
16,ALAC10,50,1,0.979,0.021
17,ILWB6,56,2,0.663,0.337
18,WB11,50,3,0.013,0.987
19,MOMA1,50,1,0.990,0.010
20,MSCS3,50,1,0.962,0.038
21,SCSF1,50,1,0.895,0.105
22,MOCC2,50,3,0.374,0.626
23,OHES2,50,3,0.015,0.985
24,TXFW11,50,1,0.986,0.014
25,ARGR5,50,1,0.976,0.024
26,OHCQ2,50,3,0.013,0.987
27,ARWR3,50,1,0.963,0.037
28,COHA8,50,3,0.016,0.984
29,ARCC6,56,1,0.990,0.010
30,INCB2,50,3,0.024,0.976
31,INEM4,50,1,0.985,0.015
32,MSWD2,50,1,0.944,0.056
33,MSCS6,50,1,0.988,0.012
34,MSSM2,50,1,0.990,0.010
35,VCN23,50,3,0.014,0.986
36,ALCC3,50,1,0.988,0.012
37,ILLG7,56,1,0.983,0.017
38,ALHR2,50,1,0.975,0.025
39,MOKC2,50,3,0.013,0.987
40,ILWB7,50,1,0.988,0.012
41,WB12,50,3,0.013,0.987
42,MOMA2,50,1,0.983,0.017
43,MSCS7,50,1,0.988,0.012
44,SCSF4,50,1,0.964,0.036
45,OHES3,56,3,0.012,0.988
46,ARGR9,50,1,0.981,0.019
47,COHA9,50,3,0.012,0.988
48,ARCC8,50,1,0.959,0.041
49,INCB3,50,3,0.063,0.937
50,INEM5,50,3,0.012,0.988
51,MSWD3,50,1,0.982,0.018
52,MSCS10,50,1,0.990,0.010
53,VCN16,50,3,0.014,0.986
54,ILWB15,56,2,0.771,0.229
55,MSSM4,50,1,0.988,0.012
56,VCN24,50,3,0.033,0.967
57,ALCC4,56,1,0.976,0.024
58,ILLG13,50,1,0.990,0.010
59,VCN32,56,3,0.082,0.918
60,ALHR4,62,1,0.926,0.074
61,MOKC3,62,3,0.043,0.957
62,WB5,50,3,0.017,0.983
63,MOGR6,56,3,0.299,0.701
64,ILLG11,50,1,0.928,0.072
65,MOMA3,50,2,0.143,0.857
66,MSCS8,50,1,0.983,0.017
67,SCSF6,56,1,0.980,0.020
68,OHES4,50,3,0.313,0.687
69,COHA2,50,3,0.015,0.985
70,COHA10,50,3,0.013,0.987
71,ARCC13,56,1,0.983,0.017
72,INCB4,50,3,0.012,0.988
73,INEM6,50,3,0.012,0.988
74,MSWD4,50,1,0.953,0.047
75,MSCS11,50,1,0.984,0.016
76,MSSM5,50,1,0.990,0.010
77,VCN25,50,3,0.015,0.985
78,ALCC6,50,1,0.985,0.015
79,ILLG14,56,1,0.983,0.017
80,Landsdale3A,50,3,0.062,0.938
81,ALHR5,56,1,0.989,0.011
82,MOKC4,50,3,0.015,0.985
83,MOMA4,50,3,0.366,0.634
84,MOMA5,50,2,0.500,0.500
85,SCCC4,50,1,0.985,0.015
86,SCSF8,50,1,0.983,0.017
87,OHES5,50,3,0.055,0.945
88,ARGR13,50,1,0.982,0.018
89,COHA3,50,3,0.012,0.988
90,ARWR8,50,1,0.984,0.016
91,COHA22,50,3,0.216,0.784
92,ARCC14,50,1,0.988,0.012
93,INEM7,50,3,0.681,0.319
94,MSCS13,50,1,0.935,0.065
95,ILWB22,50,1,0.618,0.382
96,MSSM6,50,1,0.987,0.013
97,ALCC7,56,1,0.958,0.042
98,ILLG15,50,1,0.988,0.012
99,Landsdale3B,50,3,0.061,0.939
100,VCN34,56,3,0.012,0.988
101,MOKC5,50,3,0.014,0.986
102,INEM14,50,2,0.470,0.530
103,ALAC18,50,1,0.933,0.067
104,MOGR10,50,3,0.051,0.949
105,MOMA20,50,2,0.464,0.536
106,MOMA8,50,1,0.984,0.016
107,SCSF9,50,1,0.986,0.014
108,OHES6,50,3,0.078,0.922
109,ARGR15,50,1,0.989,0.011
110,COHA4,50,3,0.018,0.982
111,ARWR12,50,1,0.937,0.063
112,ARCC15,50,1,0.965,0.035
113,VCN3,50,3,0.016,0.984
114,INEM9,50,1,0.971,0.029
115,MSWD6,50,1,0.965,0.035
116,MSCS14,50,1,0.987,0.013
117,MSSM8,56,1,0.912,0.088
118,VCN27,50,3,0.013,0.987
119,ALCC8,50,1,0.982,0.018
120,MOKC7,50,3,0.018,0.982
121,INEM15,50,1,0.823,0.177
122,ALAC20,50,1,0.863,0.137
123,MOMA14,50,2,0.621,0.379
124,SCCC14,56,1,0.984,0.016
125,SCSF14,50,1,0.989,0.011
126,OHES7,50,3,0.016,0.984
127,ARGR18,50,1,0.986,0.014
128,COHA5,50,3,0.012,0.988
129,ARCC16,50,1,0.987,0.013
130,ILHE3,50,2,0.546,0.454
131,VCN4,56,3,0.054,0.946
132,INEM10,50,3,0.280,0.720
133,MSWD7,50,1,0.961,0.039
134,MSCS15,50,1,0.988,0.012
135,ILWB24,50,2,0.723,0.277
136,MSSM9,50,1,0.988,0.012
137,ALCC9,50,1,0.942,0.058
138,ILLG18,56,1,0.979,0.021
139,WB1,50,3,0.015,0.985
140,ALHR8,62,1,0.779,0.221
141,MOKC9,50,3,0.015,0.985
142,MOMA18,50,1,0.990,0.010
143,SCSF11,50,1,0.989,0.011
144,VARC4,50,3,0.038,0.962
145,SCSF15,50,1,0.988,0.012
146,OHES8,50,3,0.137,0.863
147,ARGR19,50,1,0.988,0.012
148,COHA6,50,3,0.065,0.935
149,ARWR20,50,1,0.982,0.018
150,ARCC17,56,1,0.984,0.016
151,ILHE4,56,3,0.363,0.637
152,INEM12,50,3,0.193,0.807
153,MSCS2,50,1,0.979,0.021
154,MSCS16,50,1,0.985,0.015
155,VCN21,50,3,0.018,0.982
156,ILWB27,50,1,0.971,0.029
157,MSSM16,50,1,0.975,0.025
158,VCN29,50,3,0.014,0.986
159,ALCC10,50,1,0.991,0.009
160,ILLG19,50,1,0.982,0.018
161,ALHR9,50,1,0.979,0.021
162,MOKC10,50,3,0.349,0.651
163,MOMA19,50,1,0.956,0.044
164,SCSF17,50,1,0.989,0.011
165,VARC5,50,3,0.014,0.986
166,SCSF16,50,1,0.989,0.011
167,ARWR5,56,1,0.985,0.015
168,ARWR7,56,1,0.950,0.050
169,ILHE1,62,2,0.480,0.520
170,ILLG16,56,1,0.976,0.024
171,ARWR14,62,1,0.971,0.029
172,PPP1,43,5,0.017,0.983
173,TXFW1,43,4,0.894,0.106
174,PPP9,25,5,0.011,0.989
175,PPP17,25,5,0.012,0.988
176,MIWA1,25,5,0.012,0.988
177,PPP25,25,5,0.012,0.988
178,GC5,25,5,0.012,0.988
179,PPP33,25,5,0.012,0.988
180,KYHR10,25,6,0.989,0.011
181,ILGG5,25,6,0.940,0.060
182,PASH5,25,5,0.012,0.988
183,VAWR6,25,6,0.966,0.034
184,Landsdale1A,25,5,0.131,0.869
185,MOGR1,25,6,0.983,0.017
186,SCCC1,34,6,0.879,0.121
187,ID-ID3,25,6,0.984,0.016
188,MOSJ1,25,6,0.979,0.021
189,PPP2,43,5,0.019,0.981
190,PPP10,43,5,0.019,0.981
191,PPP18,34,5,0.019,0.981
192,MIWA2,25,5,0.012,0.988
193,PPP26,25,5,0.011,0.989
194,GC6,34,5,0.012,0.988
195,PPP34,25,5,0.011,0.989
196,KYHR11,25,6,0.890,0.110
197,ILGG6,25,6,0.961,0.039
198,PASH6,25,5,0.013,0.987
199,ILWB13,25,6,0.990,0.010
200,Landsdale1B,34,5,0.115,0.885
201,Tws16-7,25,6,0.961,0.039
202,WB4,25,5,0.254,0.746
203,ALAC14,34,6,0.787,0.213
204,MOGR5,25,6,0.983,0.017
205,SCCC2,43,6,0.889,0.111
206,ID-ID4,25,6,0.985,0.015
207,PPP3,25,5,0.012,0.988
208,MOCC3,25,6,0.274,0.726
209,PPP11,25,5,0.012,0.988
210,OHCQ3,25,5,0.011,0.989
211,PPP19,25,5,0.012,0.988
212,MIWA4,25,5,0.012,0.988
213,PPP27,25,5,0.012,0.988
214,GC8,25,5,0.012,0.988
215,PPP35,25,5,0.012,0.988
216,KYHR12,25,6,0.443,0.557
217,VCN8,34,5,0.017,0.983
218,ILGG7,25,6,0.934,0.066
219,PASH7,25,5,0.013,0.987
220,VAWR11,34,6,0.953,0.047
221,Landsdale1C,25,5,0.138,0.862
222,PtA1A,25,5,0.025,0.975
223,ALAC16,25,6,0.714,0.286
224,WB13,25,5,0.012,0.988
225,SCCC3,25,6,0.840,0.160
226,ID-ID5,25,6,0.984,0.016
227,MOSJ12,25,6,0.899,0.101
228,PPP4,25,5,0.012,0.988
229,MOCC4,25,6,0.806,0.194
230,PPP12,25,5,0.012,0.988
231,TXFW13,25,4,0.988,0.012
232,PPP20,25,5,0.012,0.988
233,MIWA6,25,5,0.012,0.988
234,PPP28,25,5,0.012,0.988
235,KYHR4,25,6,0.441,0.559
236,KYHR13,25,6,0.989,0.011
237,VCN9,43,5,0.022,0.978
238,ILGG9,25,6,0.868,0.132
239,PASH8,43,5,0.336,0.664
240,ILWB16,25,6,0.990,0.010
241,VAWR12,25,6,0.965,0.035
242,WB6,25,5,0.014,0.986
243,ALAC17,43,6,0.805,0.195
244,MOGR7,34,6,0.986,0.014
245,WB14,25,5,0.012,0.988
246,ID-ID6,25,6,0.984,0.016
247,MOSJ13,25,6,0.898,0.102
248,PPP5,25,5,0.012,0.988
249,TXFW5,25,4,0.963,0.037
250,MOCC5,25,6,0.800,0.200
251,PPP13,43,5,0.018,0.982
252,OHCQ5,25,5,0.011,0.989
253,MIWA8,25,5,0.012,0.988
254,PPP29,25,5,0.012,0.988
255,VCN2,25,5,0.011,0.989
256,KYHR14,25,6,0.443,0.557
257,ILGG12,25,6,0.916,0.084
258,PASH9,25,5,0.013,0.987
259,VAWR14,25,6,0.759,0.241
260,ALHR6,43,6,0.972,0.028
261,WB7,34,5,0.013,0.987
262,WB15,25,5,0.011,0.989
263,MOSJ16,25,6,0.980,0.020
264,PPP6,43,5,0.019,0.981
265,MOCC6,25,6,0.980,0.020
266,PPP14,25,5,0.012,0.988
267,OHCQ6,25,5,0.011,0.989
268,PPP22,25,5,0.012,0.988
269,MIWA9,25,5,0.012,0.988
270,GC2,25,5,0.012,0.988
271,PPP30,34,5,0.012,0.988
272,ILHE2,25,6,0.868,0.132
273,KYHR6,25,6,0.890,0.110
274,PASH2,34,5,0.013,0.987
275,VCN11,34,5,0.016,0.984
276,ILGG18,25,6,0.939,0.061
277,PASH10,25,5,0.012,0.988
278,ILWB23,25,6,0.990,0.010
279,VAWR15,25,6,0.861,0.139
280,PABE1,25,5,0.081,0.919
281,ALHR7,25,6,0.974,0.026
282,WB8,34,5,0.017,0.983
283,MOGR18,25,6,0.983,0.017
284,MOSJ6,34,6,0.981,0.019
285,WB16,25,5,0.011,0.989
286,MOSJ18,34,6,0.968,0.032
287,MOCC7,25,6,0.520,0.480
288,PPP15,43,5,0.019,0.981
289,OHCQ15,25,5,0.011,0.989
290,PPP23,43,5,0.013,0.987
291,MIWA10,25,5,0.012,0.988
292,GC3,25,5,0.011,0.989
293,PPP31,25,5,0.012,0.988
294,KYHR8,25,6,0.882,0.118
295,PASH3,25,5,0.012,0.988
296,VCN12,25,5,0.011,0.989
297,ILGG19,25,6,0.936,0.064
298,VAWR16,25,6,0.369,0.631
299,PABE2,25,5,0.013,0.987
300,ALAC21,43,6,0.912,0.088
301,MOGR20,25,6,0.983,0.017
302,WB17,25,5,0.011,0.989
303,SCCC8,25,6,0.845,0.155
304,MOSJ19,25,6,0.896,0.104
305,PPP8,25,5,0.011,0.989
306,MOCC8,25,6,0.942,0.058
307,PPP16,43,5,0.019,0.981
308,OHCQ19,25,5,0.011,0.989
309,MIWA11,25,5,0.012,0.988
310,GC4,25,5,0.012,0.988
311,PPP32,34,5,0.012,0.988
312,KYHR9,25,6,0.887,0.113
313,VCN5,25,5,0.011,0.989
314,PASH4,25,5,0.012,0.988
315,VCN13,43,5,0.014,0.986
316,ILGG20,25,6,0.933,0.067
317,VAWR5,25,6,0.964,0.036
318,VAWR17,25,6,0.963,0.037
319,ILWB2,25,6,0.990,0.010
320,WB10,25,5,0.011,0.989
321,ALAC22,25,6,0.738,0.262
322,MOGR21,25,6,0.983,0.017
323,ARCC4,34,6,0.717,0.283
324,ID-ID2,25,6,0.984,0.016
325,SCCC9,43,6,0.973,0.027
326,MOSJ20,25,6,0.050,0.950
327,VCN22,43,5,0.021,0.979
328,OHCQ4,34,5,0.015,0.985
329,VCN19,34,5,0.015,0.985
330,ILGG2,43,6,0.871,0.129
331,MOSJ11,0,7,0.767,0.233
332,SCCC5,25,7,0.958,0.042
